Invoice/Item Number;Date;Store Number;Store Name;Address;City;Zip Code;Store Location;County Number;County;Category;Category Name;Vendor Number;Vendor Name;Item Number;Item Description;Pack;Bottle Volume (ml);State Bottle Cost;State Bottle Retail;Bottles Sold;Sale (Dollars);Volume Sold (Liters);Volume Sold (Gallons);Long;Lat
INV-16508500029;2018-12-21 00:00:00;4463;Casey's General Store #3031 / Garner;145 Us Hwy 18 W;Garner;50438;POINT (-93.603007 43.105833);41;HANCOCK;1081600;Whiskey Liqueur;421;SAZERAC COMPANY  INC;64865;Fireball Cinnamon Whiskey PET;12;750;;;12;161,64;9;2,37;-93.603007;43.105833
INV-16512500023;2018-12-21 00:00:00;2607;Hy-Vee Wine and Spirits / Shenandoah;520 So Fremont;Shenandoah;51601;POINT (-95.385111 40.761736);73;PAGE;1031100;American Vodkas;300;McCormick Distilling Co.;36887;McCormick Vodka;12;1000;;;24;148,8;24;6,34;-95.385111;40.761736
INV-16512000053;2018-12-21 00:00:00;5210;Ding's Honk'n Holler;900, E  Washington  St;Clarinda;51632;POINT (-95.027238 40.739231);73;PAGE;1032200;Imported Flavored Vodka;65;Jim Beam Brands;35626;Pinnacle Whipped;12;750;;;2;22,06;1,5;0,39;-95.027238;40.739231
INV-16508500026;2018-12-21 00:00:00;4463;Casey's General Store #3031 / Garner;145 Us Hwy 18 W;Garner;50438;POINT (-93.603007 43.105833);41;HANCOCK;1062400;Spiced Rum;260;DIAGEO AMERICAS;43338;Captain Morgan Spiced Rum;6;1750;;;6;162;10,5;2,77;-93.603007;43.105833
INV-16512000085;2018-12-21 00:00:00;5210;Ding's Honk'n Holler;900, E  Washington  St;Clarinda;51632;POINT (-95.027238 40.739231);73;PAGE;1081200;Cream Liqueurs;330;Gemini Spirits;80456;Ryan's Cream Liqueur;12;750;;;4;32,16;3;0,79;-95.027238;40.739231
INV-16512300015;2018-12-21 00:00:00;4266;Wal-Mart 1683 / Shenandoah;705 S Fremont;Shenandoah;51601;POINT (-95.385114 40.760282);73;PAGE;1082000;Imported Cordials & Liqueurs;192;Mast-Jagermeister US, Inc;65254;Jagermeister Liqueur;24;375;;;24;234,72;9;2,37;-95.385114;40.760282
INV-16512500061;2018-12-21 00:00:00;2607;Hy-Vee Wine and Spirits / Shenandoah;520 So Fremont;Shenandoah;51601;POINT (-95.385111 40.761736);73;PAGE;1071100;Cocktails /RTD;395;PROXIMO;59154;1800 Ultimate Margarita;6;1750;;;6;90,36;10,5;2,77;-95.385111;40.761736
INV-16512000013;2018-12-21 00:00:00;5210;Ding's Honk'n Holler;900, E  Washington  St;Clarinda;51632;POINT (-95.027238 40.739231);73;PAGE;1011400;Tennessee Whiskies;85;Brown Forman Corp.;26828;Jack Daniels Old #7 Black Label;6;1750;;;6;276,12;10,5;2,77;-95.027238;40.739231
INV-16512000078;2018-12-21 00:00:00;5210;Ding's Honk'n Holler;900, E  Washington  St;Clarinda;51632;POINT (-95.027238 40.739231);73;PAGE;1081300;American Cordials & Liqueur;322;Prestige Wine & Spirits Group;75197;Kinky Aloha;6;750;;;18;270;13,5;3,56;-95.027238;40.739231
INV-16512000079;2018-12-21 00:00:00;5210;Ding's Honk'n Holler;900, E  Washington  St;Clarinda;51632;POINT (-95.027238 40.739231);73;PAGE;1081300;American Cordials & Liqueur;322;Prestige Wine & Spirits Group;75197;Kinky Aloha;6;750;;;3;45;2,25;0,59;-95.027238;40.739231
INV-16512000056;2018-12-21 00:00:00;5210;Ding's Honk'n Holler;900, E  Washington  St;Clarinda;51632;POINT (-95.027238 40.739231);73;PAGE;1031200;American Flavored Vodka;259;Heaven Hill Brands;39920;Deep Eddy Peach Mini;6;600;;;1;7,26;0,6;0,15;-95.027238;40.739231
INV-16512000072;2018-12-21 00:00:00;5210;Ding's Honk'n Holler;900, E  Washington  St;Clarinda;51632;POINT (-95.027238 40.739231);73;PAGE;1081200;Cream Liqueurs;260;DIAGEO AMERICAS;68022;Baileys Salted Caramel;12;750;;;2;39;1,5;0,39;-95.027238;40.739231
INV-16512000001;2018-12-21 00:00:00;5210;Ding's Honk'n Holler;900, E  Washington  St;Clarinda;51632;POINT (-95.027238 40.739231);73;PAGE;1012100;Canadian Whiskies;65;Jim Beam Brands;10627;Canadian Club Whisky;12;1000;;;12;174,84;12;3,17;-95.027238;40.739231
INV-16511700007;2018-12-21 00:00:00;2655;Hy-Vee Food Store / Clarinda;1200 S 16TH ST;Clarinda;51632;POINT (-95.037849 40.726808);73;PAGE;1081200;Cream Liqueurs;260;DIAGEO AMERICAS;68306;Emmets Irish Cream Liqueur;12;750;;;12;117;9;2,37;-95.037849;40.726808
INV-16512500043;2018-12-21 00:00:00;2607;Hy-Vee Wine and Spirits / Shenandoah;520 So Fremont;Shenandoah;51601;POINT (-95.385111 40.761736);73;PAGE;1011200;Straight Bourbon Whiskies;65;Jim Beam Brands;19476;Makers Mark;12;750;;;12;315;9;2,37;-95.385111;40.761736
INV-16511900005;2018-12-21 00:00:00;4249;Fareway Stores #048 / Clarinda;115 Essie Davison Dr;Clarinda;51632;POINT (-95.040293 40.724008);73;PAGE;1011200;Straight Bourbon Whiskies;125;CEDAR RIDGE VINEYARDS LL;17206;Cedar Ridge Bourbon;6;750;;;6;162,9;4,5;1,18;-95.040293;40.724008
INV-16512000010;2018-12-21 00:00:00;5210;Ding's Honk'n Holler;900, E  Washington  St;Clarinda;51632;POINT (-95.027238 40.739231);73;PAGE;1011100;Blended Whiskies;260;DIAGEO AMERICAS;25607;Seagrams 7 Crown;12;1000;;;12;144;12;3,17;-95.027238;40.739231
INV-16512300003;2018-12-21 00:00:00;4266;Wal-Mart 1683 / Shenandoah;705 S Fremont;Shenandoah;51601;POINT (-95.385114 40.760282);73;PAGE;1062400;Spiced Rum;260;DIAGEO AMERICAS;43336;Captain Morgan Original Spiced;12;750;;;12;163,08;9;2,37;-95.385114;40.760282
INV-16511700030;2018-12-21 00:00:00;2655;Hy-Vee Food Store / Clarinda;1200 S 16TH ST;Clarinda;51632;POINT (-95.037849 40.726808);73;PAGE;1051100;American Brandies;434;LUXCO INC;54446;Paramount Apricot Brandy;12;750;;;4;32,88;3;0,79;-95.037849;40.726808
INV-16511900002;2018-12-21 00:00:00;4249;Fareway Stores #048 / Clarinda;115 Essie Davison Dr;Clarinda;51632;POINT (-95.040293 40.724008);73;PAGE;1041100;American Dry Gins;205;E & J Gallo Winery;31475;New Amsterdam Gin;12;750;;;6;67,5;4,5;1,18;-95.040293;40.724008
INV-16512000054;2018-12-21 00:00:00;5210;Ding's Honk'n Holler;900, E  Washington  St;Clarinda;51632;POINT (-95.027238 40.739231);73;PAGE;1031100;American Vodkas;55;SAZERAC NORTH AMERICA;37938;Skol Vodka;6;1750;;;2;21,34;3,5;0,92;-95.027238;40.739231
INV-16647600002;2018-12-31 00:00:00;3045;Britt Food Center;8 2nd St NW;Britt;50423;POINT (-93.801917 43.098696);41;HANCOCK;1071100;Cocktails /RTD;55;SAZERAC NORTH AMERICA;57158;Chi-Chi's Strawberry Margarita W/tequila;6;1750;;;6;55,44;10,5;2,77;-93.801917;43.098696
INV-16512000041;2018-12-21 00:00:00;5210;Ding's Honk'n Holler;900, E  Washington  St;Clarinda;51632;POINT (-95.027238 40.739231);73;PAGE;1012100;Canadian Whiskies;260;DIAGEO AMERICAS;11290;Crown Royal Mini;10;300;;;1;11,03;0,3;0,07;-95.027238;40.739231
INV-16647600001;2018-12-31 00:00:00;3045;Britt Food Center;8 2nd St NW;Britt;50423;POINT (-93.801917 43.098696);41;HANCOCK;1081600;Whiskey Liqueur;421;SAZERAC COMPANY  INC;64866;Fireball Cinnamon Whiskey;12;750;;;12;162;9;2,37;-93.801917;43.098696
INV-16512500049;2018-12-21 00:00:00;2607;Hy-Vee Wine and Spirits / Shenandoah;520 So Fremont;Shenandoah;51601;POINT (-95.385111 40.761736);73;PAGE;1012100;Canadian Whiskies;115;CONSTELLATION BRANDS INC;11786;Black Velvet Traveler;12;750;;;12;94,2;9;2,37;-95.385111;40.761736
INV-16512000015;2018-12-21 00:00:00;5210;Ding's Honk'n Holler;900, E  Washington  St;Clarinda;51632;POINT (-95.027238 40.739231);73;PAGE;1032100;Imported Vodkas;35;BACARDI USA INC;34433;Grey Goose;12;750;;;12;332,88;9;2,37;-95.027238;40.739231
INV-16512400001;2018-12-21 00:00:00;2607;Hy-Vee Wine and Spirits / Shenandoah;520 So Fremont;Shenandoah;51601;POINT (-95.385111 40.761736);73;PAGE;1901200;Special Order Items;421;SAZERAC COMPANY  INC;902207;HA Old Rip Van Winkle 10YR (Pappy);3;750;;;1;45;0,75;0,19;-95.385111;40.761736
INV-16512000083;2018-12-21 00:00:00;5210;Ding's Honk'n Holler;900, E  Washington  St;Clarinda;51632;POINT (-95.027238 40.739231);73;PAGE;1081300;American Cordials & Liqueur;434;LUXCO INC;79336;Paramount Creme de Menthe Green;12;750;;;4;30;3;0,79;-95.027238;40.739231
INV-16512000094;2018-12-21 00:00:00;5210;Ding's Honk'n Holler;900, E  Washington  St;Clarinda;51632;POINT (-95.027238 40.739231);73;PAGE;1701100;Temporary & Specialty Packages;260;DIAGEO AMERICAS;558;Crown Royal w/2 Glasses;4;1750;;;2;95,98;3,5;0,92;-95.027238;40.739231
INV-16511700020;2018-12-21 00:00:00;2655;Hy-Vee Food Store / Clarinda;1200 S 16TH ST;Clarinda;51632;POINT (-95.037849 40.726808);73;PAGE;1031100;American Vodkas;434;LUXCO INC;36304;Hawkeye Vodka;24;375;;;4;11,16;1,5;0,39;-95.037849;40.726808
INV-16508500034;2018-12-21 00:00:00;4463;Casey's General Store #3031 / Garner;145 Us Hwy 18 W;Garner;50438;POINT (-93.603007 43.105833);41;HANCOCK;1062400;Spiced Rum;259;Heaven Hill Brands;43028;Admiral Nelson Spiced Rum;6;1750;;;6;103,98;10,5;2,77;-93.603007;43.105833
INV-16647600011;2018-12-31 00:00:00;3045;Britt Food Center;8 2nd St NW;Britt;50423;POINT (-93.801917 43.098696);41;HANCOCK;1011100;Blended Whiskies;434;LUXCO INC;23278;Calvert Extra Bl Whiskey;6;1750;;;6;99,18;10,5;2,77;-93.801917;43.098696
INV-16508700012;2018-12-21 00:00:00;5626;Corwith Farm Service;205 NW Elm St;Corwith;50430;POINT (-93.957384 42.99274);41;HANCOCK;1051100;American Brandies;259;Heaven Hill Brands;52316;Christian Bros Brandy;12;750;;;12;106,56;9;2,37;-93.957384;42.99274
INV-16512500022;2018-12-21 00:00:00;2607;Hy-Vee Wine and Spirits / Shenandoah;520 So Fremont;Shenandoah;51601;POINT (-95.385111 40.761736);73;PAGE;1031100;American Vodkas;380;Phillips Beverage;37356;Phillips Vodka;12;750;;;12;64,32;9;2,37;-95.385111;40.761736
INV-16512500048;2018-12-21 00:00:00;2607;Hy-Vee Wine and Spirits / Shenandoah;520 So Fremont;Shenandoah;51601;POINT (-95.385111 40.761736);73;PAGE;1011200;Straight Bourbon Whiskies;421;SAZERAC COMPANY  INC;16518;Ancient Age Bourbon;6;1750;;;6;106,2;10,5;2,77;-95.385111;40.761736
INV-16508500001;2018-12-21 00:00:00;4463;Casey's General Store #3031 / Garner;145 Us Hwy 18 W;Garner;50438;POINT (-93.603007 43.105833);41;HANCOCK;1012100;Canadian Whiskies;115;CONSTELLATION BRANDS INC;10550;Black Velvet Toasted Caramel;12;750;;;12;121,56;9;2,37;-93.603007;43.105833
INV-16512500032;2018-12-21 00:00:00;2607;Hy-Vee Wine and Spirits / Shenandoah;520 So Fremont;Shenandoah;51601;POINT (-95.385111 40.761736);73;PAGE;1022200;100% Agave Tequila;260;DIAGEO AMERICAS;89154;Don Julio Reposado;6;750;;;6;283,44;4,5;1,18;-95.385111;40.761736
INV-16512300005;2018-12-21 00:00:00;4266;Wal-Mart 1683 / Shenandoah;705 S Fremont;Shenandoah;51601;POINT (-95.385114 40.760282);73;PAGE;1012100;Canadian Whiskies;115;CONSTELLATION BRANDS INC;11788;Black Velvet;6;1750;;;6;94,08;10,5;2,77;-95.385114;40.760282
INV-16508500011;2018-12-21 00:00:00;4463;Casey's General Store #3031 / Garner;145 Us Hwy 18 W;Garner;50438;POINT (-93.603007 43.105833);41;HANCOCK;1011200;Straight Bourbon Whiskies;65;Jim Beam Brands;19066;Jim Beam;12;750;;;4;63;3;0,79;-93.603007;43.105833
INV-16511800001;2018-12-21 00:00:00;4249;Fareway Stores #048 / Clarinda;115 Essie Davison Dr;Clarinda;51632;POINT (-95.040293 40.724008);73;PAGE;1901200;Special Order Items;421;SAZERAC COMPANY  INC;902207;HA Old Rip Van Winkle 10YR (Pappy);3;750;;;1;45;0,75;0,19;-95.040293;40.724008
INV-16517600019;2018-12-21 00:00:00;3045;Britt Food Center;8 2nd St NW;Britt;50423;POINT (-93.801917 43.098696);41;HANCOCK;1011200;Straight Bourbon Whiskies;65;Jim Beam Brands;19096;Jim Beam PET;12;750;;;1;15,75;0,75;0,19;-93.801917;43.098696
INV-16512000038;2018-12-21 00:00:00;5210;Ding's Honk'n Holler;900, E  Washington  St;Clarinda;51632;POINT (-95.027238 40.739231);73;PAGE;1701100;Temporary & Specialty Packages;260;DIAGEO AMERICAS;5747;Johnnie Walker White Walker;12;750;;;1;35,25;0,75;0,19;-95.027238;40.739231
INV-16512500063;2018-12-21 00:00:00;2607;Hy-Vee Wine and Spirits / Shenandoah;520 So Fremont;Shenandoah;51601;POINT (-95.385111 40.761736);73;PAGE;1032100;Imported Vodkas;260;DIAGEO AMERICAS;36871;Ciroc 80prf;12;750;;;2;49,48;1,5;0,39;-95.385111;40.761736
INV-16512500053;2018-12-21 00:00:00;2607;Hy-Vee Wine and Spirits / Shenandoah;520 So Fremont;Shenandoah;51601;POINT (-95.385111 40.761736);73;PAGE;1062100;Gold Rum;35;BACARDI USA INC;43038;Bacardi Gold;6;1750;;;6;135;10,5;2,77;-95.385111;40.761736
INV-16511700032;2018-12-21 00:00:00;2655;Hy-Vee Food Store / Clarinda;1200 S 16TH ST;Clarinda;51632;POINT (-95.037849 40.726808);73;PAGE;1062500;Flavored Rum;65;Jim Beam Brands;44419;Cruzan Black Cherry;12;750;;;3;30,75;2,25;0,59;-95.037849;40.726808
INV-16508500025;2018-12-21 00:00:00;4463;Casey's General Store #3031 / Garner;145 Us Hwy 18 W;Garner;50438;POINT (-93.603007 43.105833);41;HANCOCK;1062400;Spiced Rum;260;DIAGEO AMERICAS;43334;Captain Morgan Spiced Rum;24;375;;;24;180;9;2,37;-93.603007;43.105833
INV-16511700017;2018-12-21 00:00:00;2655;Hy-Vee Food Store / Clarinda;1200 S 16TH ST;Clarinda;51632;POINT (-95.037849 40.726808);73;PAGE;1062400;Spiced Rum;260;DIAGEO AMERICAS;43334;Captain Morgan Spiced Rum;24;375;;;3;22,5;1,12;0,29;-95.037849;40.726808
INV-16512000093;2018-12-21 00:00:00;5210;Ding's Honk'n Holler;900, E  Washington  St;Clarinda;51632;POINT (-95.027238 40.739231);73;PAGE;1022200;100% Agave Tequila;410;Patron Spirits Company;88294;Patron Silver;12;375;;;2;43,5;0,75;0,19;-95.027238;40.739231
INV-16512000059;2018-12-21 00:00:00;5210;Ding's Honk'n Holler;900, E  Washington  St;Clarinda;51632;POINT (-95.027238 40.739231);73;PAGE;1031200;American Flavored Vodka;205;E & J Gallo Winery;40592;New Amsterdam Peach;24;200;;;6;22,44;1,2;0,31;-95.027238;40.739231
INV-16512000028;2018-12-21 00:00:00;5210;Ding's Honk'n Holler;900, E  Washington  St;Clarinda;51632;POINT (-95.027238 40.739231);73;PAGE;1031200;American Flavored Vodka;260;DIAGEO AMERICAS;77683;Smirnoff Kissed Caramel;12;750;;;12;148,56;9;2,37;-95.027238;40.739231
INV-16511600002;2018-12-21 00:00:00;2655;Hy-Vee Food Store / Clarinda;1200 S 16TH ST;Clarinda;51632;POINT (-95.037849 40.726808);73;PAGE;1032200;Imported Flavored Vodka;370;PERNOD RICARD USA;34116;Absolut Mandrin;12;750;;;36;620,64;27;7,13;-95.037849;40.726808
INV-16508500016;2018-12-21 00:00:00;4463;Casey's General Store #3031 / Garner;145 Us Hwy 18 W;Garner;50438;POINT (-93.603007 43.105833);41;HANCOCK;1032100;Imported Vodkas;115;CONSTELLATION BRANDS INC;34820;Svedka 80prf;12;750;;;12;148,56;9;2,37;-93.603007;43.105833
INV-16512500080;2018-12-21 00:00:00;2607;Hy-Vee Wine and Spirits / Shenandoah;520 So Fremont;Shenandoah;51601;POINT (-95.385111 40.761736);73;PAGE;1082000;Imported Cordials & Liqueurs;330;Gemini Spirits;66936;Grangala Triple Orange Liqueur;12;750;;;12;198,36;9;2,37;-95.385111;40.761736
INV-16512000035;2018-12-21 00:00:00;5210;Ding's Honk'n Holler;900, E  Washington  St;Clarinda;51632;POINT (-95.027238 40.739231);73;PAGE;1012200;Scotch Whiskies;35;BACARDI USA INC;4866;Dewars White Label Scotch;12;750;;;2;40,5;1,5;0,39;-95.027238;40.739231
INV-16512000049;2018-12-21 00:00:00;5210;Ding's Honk'n Holler;900, E  Washington  St;Clarinda;51632;POINT (-95.027238 40.739231);73;PAGE;1011200;Straight Bourbon Whiskies;65;Jim Beam Brands;28042;Jim Beam Vanilla;24;375;;;6;49,5;2,25;0,59;-95.027238;40.739231
INV-16512500004;2018-12-21 00:00:00;2607;Hy-Vee Wine and Spirits / Shenandoah;520 So Fremont;Shenandoah;51601;POINT (-95.385111 40.761736);73;PAGE;1022200;100% Agave Tequila;410;Patron Spirits Company;88291;Patron Silver Mini;10;300;;;2;60,9;0,6;0,15;-95.385111;40.761736
INV-16508500006;2018-12-21 00:00:00;4463;Casey's General Store #3031 / Garner;145 Us Hwy 18 W;Garner;50438;POINT (-93.603007 43.105833);41;HANCOCK;1012100;Canadian Whiskies;115;CONSTELLATION BRANDS INC;11788;Black Velvet;6;1750;;;12;188,16;21;5,54;-93.603007;43.105833
INV-16647600024;2018-12-31 00:00:00;3045;Britt Food Center;8 2nd St NW;Britt;50423;POINT (-93.801917 43.098696);41;HANCOCK;1081200;Cream Liqueurs;260;DIAGEO AMERICAS;68036;Baileys Original Irish Cream;12;750;;;4;78;3;0,79;-93.801917;43.098696
INV-16512500041;2018-12-21 00:00:00;2607;Hy-Vee Wine and Spirits / Shenandoah;520 So Fremont;Shenandoah;51601;POINT (-95.385111 40.761736);73;PAGE;1011200;Straight Bourbon Whiskies;65;Jim Beam Brands;27544;Red Stag Black Cherry;12;750;;;12;188,88;9;2,37;-95.385111;40.761736
INV-16512500026;2018-12-21 00:00:00;2607;Hy-Vee Wine and Spirits / Shenandoah;520 So Fremont;Shenandoah;51601;POINT (-95.385111 40.761736);73;PAGE;1031100;American Vodkas;301;FIFTH GENERATION INC;38178;Titos Handmade Vodka;6;1750;;;6;171;10,5;2,77;-95.385111;40.761736
INV-16512500059;2018-12-21 00:00:00;2607;Hy-Vee Wine and Spirits / Shenandoah;520 So Fremont;Shenandoah;51601;POINT (-95.385111 40.761736);73;PAGE;1081400;American Schnapps;65;Jim Beam Brands;82847;Dekuyper Luscious Peachtree;12;1000;;;12;141,72;12;3,17;-95.385111;40.761736
INV-16512500073;2018-12-21 00:00:00;2607;Hy-Vee Wine and Spirits / Shenandoah;520 So Fremont;Shenandoah;51601;POINT (-95.385111 40.761736);73;PAGE;1081600;Whiskey Liqueur;260;DIAGEO AMERICAS;66213;Piehole Pecan Pie;12;750;;;4;44,96;3;0,79;-95.385111;40.761736
INV-16511600003;2018-12-21 00:00:00;2655;Hy-Vee Food Store / Clarinda;1200 S 16TH ST;Clarinda;51632;POINT (-95.037849 40.726808);73;PAGE;1032200;Imported Flavored Vodka;370;PERNOD RICARD USA;34052;Absolut Raspberri;12;750;;;12;206,88;9;2,37;-95.037849;40.726808
INV-16508700006;2018-12-21 00:00:00;5626;Corwith Farm Service;205 NW Elm St;Corwith;50430;POINT (-93.957384 42.99274);41;HANCOCK;1011200;Straight Bourbon Whiskies;434;LUXCO INC;16988;Bourbon Supreme Bourbon;6;1750;;;6;87,06;10,5;2,77;-93.957384;42.99274
INV-16512000091;2018-12-21 00:00:00;5210;Ding's Honk'n Holler;900, E  Washington  St;Clarinda;51632;POINT (-95.027238 40.739231);73;PAGE;1081600;Whiskey Liqueur;421;SAZERAC COMPANY  INC;86884;Southern Comfort;24;375;;;6;43,02;2,25;0,59;-95.027238;40.739231
INV-16517600018;2018-12-21 00:00:00;3045;Britt Food Center;8 2nd St NW;Britt;50423;POINT (-93.801917 43.098696);41;HANCOCK;1051100;American Brandies;115;CONSTELLATION BRANDS INC;53216;Paul Masson Grande Amber Brandy VS;12;750;;;2;18,88;1,5;0,39;-93.801917;43.098696
INV-16517600011;2018-12-21 00:00:00;3045;Britt Food Center;8 2nd St NW;Britt;50423;POINT (-93.801917 43.098696);41;HANCOCK;1082200;Imported Schnapps;421;SAZERAC COMPANY  INC;69637;Dr McGillicuddys Cherry;12;1000;;;12;198;12;3,17;-93.801917;43.098696
INV-16512500001;2018-12-21 00:00:00;2607;Hy-Vee Wine and Spirits / Shenandoah;520 So Fremont;Shenandoah;51601;POINT (-95.385111 40.761736);73;PAGE;1012400;Irish Whiskies;370;PERNOD RICARD USA;15644;Jameson;24;375;;;6;60,66;2,25;0,59;-95.385111;40.761736
INV-16512000007;2018-12-21 00:00:00;5210;Ding's Honk'n Holler;900, E  Washington  St;Clarinda;51632;POINT (-95.027238 40.739231);73;PAGE;1012100;Canadian Whiskies;115;CONSTELLATION BRANDS INC;11788;Black Velvet;6;1750;;;6;94,08;10,5;2,77;-95.027238;40.739231
INV-16512500012;2018-12-21 00:00:00;2607;Hy-Vee Wine and Spirits / Shenandoah;520 So Fremont;Shenandoah;51601;POINT (-95.385111 40.761736);73;PAGE;1031100;American Vodkas;260;DIAGEO AMERICAS;37994;Smirnoff 80prf;24;375;;;4;28,52;1,5;0,39;-95.385111;40.761736
